candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
weibull_min,"(0.952409346672833, 0.2333333333333333, 1.1724591224140597)",0.07586612028316675,0.935660348494677,,,-53.09871498641233,112.19742997282466,True,46
expon,"(0.23333333333333334, 1.2032608695652172)",0.0788114600414267,0.9159781495659614,,,-54.51162208261534,113.02324416523068,True,46
lognorm,"(0.9765815349880095, 0.14784375881644554, 0.8528862835027486)",0.08536071309024862,0.8625705035797744,,,-56.86117243558144,119.72234487116287,True,46
gamma,"(0.820787416266086, 0.2333333333333333, 1.4616192569203434)",0.09178002969493604,0.7996615284654379,,,-49.20232437316394,104.40464874632788,True,46
norm,"(1.4365942028985506, 1.0856753923484381)",0.16520998127438313,0.14482972549255024,,,-69.05247716629923,142.10495433259845,True,46
triang,"(8.537611812074767e-08, 0.23333297648003448, 4.179234901392798)",0.180446566027236,0.08794196551316902,,,-54.88849505240034,115.77699010480067,True,46
