candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
weibull_min,"(2.130937669273061, -0.13086484249233604, 4.421710936669566)",0.03352219829321096,0.9789885845629169,5.550264550264551,0.4754024899311863,-384.830753036454,775.661506072908,True,189
gamma,"(6.5439824029013, -1.2395702364965953, 0.7677626198996084)",0.03899423996280277,0.9252209013856434,14.121693121693124,0.028305934489660393,-385.75262417662435,777.5052483532487,True,189
lognorm,"(0.2586227541701524, -3.685690844733844, 7.226195687980442)",0.043888764955700765,0.8438759801372083,10.841269841269842,0.09340781827435753,-386.36635337469943,778.7327067493989,True,189
norm,"(3.7846560846560844, 1.9344504350033704)",0.0610946840193049,0.4626429715000535,14.65079365079365,0.040745537715436604,-392.8859814150727,789.7719628301454,True,189
triang,"(0.24011740101299678, -0.08314238864994226, 9.508445662181035)",0.06407906190001322,0.4026927069293238,7.878306878306879,0.2471551517176995,-384.8872952067504,775.7745904135008,True,189
expon,"(0.1, 3.6846560846560843)",0.21857621843342706,2.078999505442269e-08,85.76190476190477,9.153322527204358e-16,-435.4894894457,874.9789788914,False,189
