candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
weibull_min,"(1.2085716009020606, 0.4615142850926734, 0.5602497283676239)",0.09434640734074562,0.9127674577405268,,,-10.6108028748416,27.2216057496832,True,32
gamma,"(1.4439691448041496, 0.4552385551545187, 0.36896529348745377)",0.09657318902434059,0.8986311447064911,,,-10.663988622501547,27.327977245003094,True,32
lognorm,"(0.6820972579882234, 0.361157681062028, 0.5007860288327055)",0.1010029023030678,0.8674466126415638,,,-11.032932852344656,28.065865704689312,True,32
expon,"(0.4666666666666667, 0.5213541666666666)",0.14522086325252848,0.46632857999640864,,,-11.157578057388587,26.315156114777174,True,32
norm,"(0.9880208333333332, 0.43533660298590277)",0.16214361159708301,0.3327645182643697,,,-18.793689153599026,41.58737830719805,True,32
triang,"(0.0790937398120039, 0.41737120614561285, 1.88757636004449)",0.1987339073436858,0.13901421847732442,,,-12.221181622156077,30.442363244312155,True,32
