candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(0.6385526509369187, -0.4968793988903245, 3.1303138573344635)",0.04948610053534641,0.29413668755900335,12.40625,0.05349579367211746,-810.8239334724858,1627.6478669449716,True,384
gamma,"(1.881573192887355, -0.02663744500225907, 1.7766755037136275)",0.051807794152263165,0.24545755752498988,21.3125,0.001611839792472784,-809.5173750671747,1625.0347501343495,True,384
weibull_min,"(1.4044792622413054, 0.005955399485740092, 3.644325041730804)",0.05991385476892036,0.12190406766581763,20.270833333333336,0.0024780828170701263,-811.9783500681059,1629.9567001362118,True,384
norm,"(3.316276041666667, 2.445975706428804)",0.1333640499190779,2.0403637654625454e-06,114.90625,8.792402822546474e-22,-888.3389331692324,1780.6778663384648,False,384
triang,"(0.1021256108420188, -0.1314334367051363, 11.078842305104668)",0.15225169962429336,3.084871948391037e-08,70.21875,3.6875258281785885e-13,-819.184556992425,1644.36911398485,False,384
expon,"(0.016666666666666666, 3.299609375)",0.1665640165710195,8.838669294916955e-10,51.10416666666667,8.764137027658296e-09,-842.4207706574932,1688.8415413149864,False,384
