candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(8.479133733913256e-06, -262143.1999999999, 262149.6555461317)",0.09565072512623929,0.8345667783078352,,,-86.4905765050225,178.981153010045,True,39
norm,"(6.455555555555556, 2.222798002330462)",0.09565127775237237,0.8345618032566569,,,-86.49050657950065,176.9810131590013,True,39
gamma,"(306.53780770470235, -33.064576820722905, 0.12892661009490214)",0.09739862417578882,0.8185617529470677,,,-86.86204232080775,179.7240846416155,True,39
weibull_min,"(5.638073722464939, -4.471796516330151, 11.804574729742491)",0.11130556221685839,0.6780745319819768,,,-86.13426670107421,178.26853340214842,True,39
triang,"(0.6043650742100144, 0.029957310925353725, 11.725875091214242)",0.13789069985475622,0.41137154944492926,,,-86.33315689798097,178.66631379596194,True,39
expon,"(0.8, 5.655555555555556)",0.3775905750291336,1.6648094195402943e-05,,,-106.57289550259003,217.14579100518006,False,39
