candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
gamma,"(1.885445370047164, 5.030401727121693, 7.906828551475945)",0.029721466683165776,0.7003993456289197,12.28158844765343,0.05597378121581756,-1995.844343787846,3997.688687575692,True,554
weibull_min,"(1.4328076232123546, 5.272547366146239, 16.143539544782335)",0.034650263539787396,0.5079316906672575,8.490974729241877,0.20429312038387357,-1993.0257276343314,3992.0514552686627,True,554
lognorm,"(0.5636116537189526, 1.2591437557056608, 16.036243433395356)",0.03523672160294089,0.4862769476560045,13.653429602888087,0.033756457694647,-2005.7016478747778,4017.4032957495556,True,554
triang,"(0.04411272622834885, 5.055250110446319, 45.9750104100094)",0.09978157527501796,2.9671954583042404e-05,33.25631768953069,9.359692918275073e-06,-1993.0719130408256,3992.1438260816512,False,554
norm,"(19.938327316486163, 10.302401937892716)",0.1176646809386318,3.860862568309289e-07,131.77617328519855,2.6739060262843173e-25,-2078.2288419055726,4160.457683811145,False,554
expon,"(5.35, 14.588327316486163)",0.12863836492281477,1.8814490246318802e-08,68.59927797833936,2.8337698955708932e-12,-2038.8428273808904,4081.685654761781,False,554
