candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
gamma,"(2451.5980924364903, -98.06795504927982, 0.04202086781879849)",0.08563977411025381,0.7915534665091736,4.148148148148148,0.6566357425410867,-116.18776582621922,238.37553165243844,True,54
lognorm,"(2.6596130995722505e-06, -781964.8571979934, 781969.8099730057)",0.08612706619226951,0.7859614406713759,5.62962962962963,0.46592969166297493,-116.16372263326141,238.32744526652283,True,54
norm,"(4.9527777777777775, 2.079737019423092)",0.08612710426933157,0.7859610020564517,5.62962962962963,0.5835976102264802,-116.16371924156518,236.32743848313035,True,54
weibull_min,"(3.469173440534266, -1.5403790428458006, 7.218209610573831)",0.09062138478619619,0.7326837528322501,5.2592592592592595,0.5110169055876579,-115.94610308276474,237.89220616552947,True,54
triang,"(0.5270194700235247, -0.25598062581601033, 10.47900801403754)",0.1243044605343484,0.34559594379922853,10.074074074074073,0.12156706037871674,-115.45890867515926,236.91781735031853,True,54
expon,"(0.35, 4.602777777777778)",0.2956379222707449,0.00011167446219873655,47.48148148148147,4.4960239981418245e-08,-136.43963924272595,276.8792784854519,False,54
