candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
expon,"(0.6166666666666667, 1.1456989247311828)",0.11600458811351222,0.7555384503342142,,,-35.21646082713248,74.43292165426496,True,31
weibull_min,"(0.9019450236989277, 0.6166666666666666, 1.423373984729766)",0.1265973081882209,0.656890151342399,,,-33.467144368139245,72.93428873627849,True,31
lognorm,"(0.8221188890848217, 0.4512426513390053, 0.973140292202097)",0.1289017696890845,0.6351162122975051,,,-37.07107877343991,80.14215754687982,True,31
gamma,"(0.7608027712192416, 0.6166666666666666, 1.4548785581953685)",0.13559763183344498,0.5723561255567235,,,-28.692886582140698,63.385773164281396,True,31
triang,"(2.4471719537735336e-06, 0.6166571605751541, 3.50093736554785)",0.15621193580329185,0.395018290624627,,,-33.49640708877192,72.99281417754383,True,31
norm,"(1.7623655913978495, 0.9281149020249869)",0.20059339037785323,0.14351605234677223,,,-41.67450268162138,87.34900536324275,True,31
