candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
gamma,"(2.8287689609397355, -0.5677360778445197, 1.6485848273269497)",0.09651451772904152,0.501517231696454,14.000000000000002,0.029636163880521756,-161.7123479888281,329.4246959776562,True,70
weibull_min,"(1.6618992203555962, -0.18190327301830134, 4.777604498516645)",0.09848119680950468,0.47584189644855557,7.714285714285714,0.2597916046614883,-160.58486512705971,327.16973025411943,True,70
lognorm,"(0.3796388593209099, -2.8912086063318068, 6.512277111840872)",0.10451302726982342,0.4014421846544436,10.285714285714286,0.11312423466718959,-162.68650066698393,331.37300133396786,True,70
triang,"(0.23407933363039202, -0.5804936126043312, 11.878423760879345)",0.13325776497134723,0.1519151955668555,13.714285714285714,0.032995786360459765,-159.9101676054177,325.8203352108354,True,70
norm,"(4.095714285714286, 2.596063389964997)",0.15504183318473147,0.06181882849356035,21.42857142857143,0.0031850148198402355,-166.10543250495687,336.21086500991373,True,70
expon,"(0.05, 4.045714285714286)",0.18366267969409597,0.015396083732788224,34.857142857142854,1.189744266538725e-05,-167.8360683839144,339.6721367678288,False,70
