candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(0.733826570488182, 0.013298856339893514, 0.8719164078976214)",0.04361537374213642,0.06824834097110732,22.977272727272727,0.0008041264063636994,-855.706942427652,1717.413884855304,True,880
gamma,"(1.638707347537352, 0.11398021292370854, 0.6217076814422198)",0.045245473872766284,0.05282509502883215,19.681818181818183,0.003154485887599263,-840.3543538665541,1686.7087077331082,True,880
weibull_min,"(1.335190112952047, 0.11566988035629994, 1.1094223181105496)",0.05273413114405601,0.014433687792242073,17.454545454545453,0.007750176720422535,-842.3991003175297,1690.7982006350594,False,880
expon,"(0.11666666666666667, 1.016117424242424)",0.10062106829833745,3.2918880857880276e-08,79.93181818181817,1.422313538289519e-14,-894.0702474173937,1792.1404948347874,False,880
norm,"(1.1327840909090907, 0.7750965328276512)",0.11914752324842026,2.4194705869082604e-11,336.47727272727275,9.651385324028182e-69,-1024.470334189641,2052.940668379282,False,880
triang,"(0.0417407493302957, 0.10930884292374446, 3.370592369671612)",0.12283605721630014,4.966851276442834e-12,75.93181818181817,2.4674067559616163e-14,-842.6066330843199,1691.2132661686398,False,880
