candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
weibull_min,"(2.6658820593702273, -1.201151587763307, 7.2697560372595245)",0.05654867284462728,0.8013838975359528,5.516129032258064,0.47950943938941515,-293.6843131926458,593.3686263852916,True,124
triang,"(0.3693675559560484, -0.6097173876602971, 12.841006151052708)",0.05759194325583561,0.7833749288655376,10.838709677419354,0.09349105819621377,-292.8760902695587,591.7521805391174,True,124
lognorm,"(0.0988709176698687, -21.240477030362428, 26.371465389231158)",0.06327615265441111,0.6795071898696388,8.741935483870968,0.1886200275536886,-294.78283913996955,595.5656782799391,True,124
gamma,"(38.166923755859926, -10.981582028197348, 0.4255428891601434)",0.06410411157867113,0.6639527465624373,9.38709677419355,0.152949729017933,-294.71609364408056,595.4321872881611,True,124
norm,"(5.260080645161291, 2.620806787861862)",0.06673079372241714,0.6145920183751419,7.451612903225807,0.3834179424246488,-295.4201714963839,594.8403429927678,True,124
expon,"(0.03333333333333333, 5.226747311827958)",0.26536906488573087,3.3781259053972936e-08,86.64516129032258,6.034566280286431e-16,-329.0698553060607,662.1397106121213,False,124
