candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(1.3375362602943446, -0.08218998061704995, 4.950949843381371)",0.02365194106573787,0.8246285699237088,8.953757225433526,0.17619548355610512,-2290.068323884192,4586.136647768384,True,692
weibull_min,"(0.750878722890861, 0.01574157993333333, 9.829404943175344)",0.06111369684664547,0.010896088780960681,39.58959537572254,5.484173224298226e-07,-2305.499900896244,4616.999801792488,False,692
expon,"(0.015741579933333333, 11.346925658154815)",0.15935685149472295,8.098512005158933e-16,91.12138728323698,7.279351094905896e-17,-2372.8312133584477,4749.662426716895,False,692
norm,"(11.362667238088148, 18.974108111549054)",0.2749127749594352,1.029866908127929e-46,847.306358381503,1.1436056620790907e-178,-3018.5135856101233,6041.027171220247,False,692
triang,"(0.00014752062656907247, -0.022666480478400516, 168.09373851956803)",0.6478671833784645,5.336082971935491e-284,2531.294797687862,0.0,-3128.194137363464,6262.388274726928,False,692
gamma,"(0.12190216636778659, 0.01574157993333333, 3.2580044566391484)",0.7835293853041043,0.0,4328.635838150289,0.0,-4830.547742710236,9667.095485420472,False,692
