variable,dist,n_empirical,mean_emp,mean_sim,std_emp,std_sim,p50_emp,p50_sim,mean_pct_diff,flag
service_times.initial_screening.xray_requested,lognorm,880,1.1327840909090907,1.1542419650277762,0.7750965328276512,0.9925338629732815,0.9166666666666666,0.8740498838357549,1.8942598409432951,OK
service_times.single_screening.no_xray,weibull_min,0,,4.4878646157086415,,2.4494123882786605,,4.231161108447857,,REVIEW
service_times.xray_process.pooled,lognorm,911,2.907500914745701,2.974819725281394,2.1386382283152883,2.3916565369060496,2.183333333333333,2.371648181080481,2.3153495909245794,OK
service_times.xray_process.standing,lognorm,525,2.603619047619048,2.6071430208816393,1.857388968633444,2.053651174103177,2.0166666666666666,2.096215985934472,0.1353490352520637,OK
service_times.xray_process.laying,lognorm,384,3.316276041666667,3.283331777384962,2.445975706428804,2.7657951746218785,2.5166666666666666,2.5729769443905477,0.9934114008539454,OK
service_times.secondary_screening,triang,336,5.1999007936507935,5.196806519749029,1.9012018416094207,1.839093181884976,5.025,4.967559930520512,0.05950640261334399,OK
arrivals.walkin,lognorm,675,11.648964726706568,12.258595501045,19.83715397524002,25.700433585295492,4.9295290918,5.0636931205929985,5.233347242787895,OK
arrivals.appointment_inter_arrival,lognorm,1004,7.669692003614974,7.74851703602141,17.10933291362813,20.12076956213259,2.921901290866667,2.6868224068195357,1.02774703820289,OK
