candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
gamma,"(1.7704733482965227, 0.11046056537987223, 0.503518372183213)",0.041453334493414984,0.4121383194821896,17.391982182628063,0.007945635360490371,-360.3354647017793,726.6709294035586,True,449
lognorm,"(0.6707392154550711, -0.010314155399109546, 0.8194772469477817)",0.05180544345796323,0.17336544580790214,16.679287305122493,0.01053706997291772,-368.3932836762415,742.786567352483,True,449
weibull_min,"(1.393450270283763, 0.11445179162105604, 0.9748576153745905)",0.05269052026159021,0.15946757924098964,14.3630289532294,0.02583362824795319,-360.8099705735324,727.6199411470648,True,449
triang,"(0.04897271460639801, 0.10650660052267602, 2.9300665641872508)",0.11421335630032792,1.4727747951291954e-05,29.552338530066816,4.780857399530088e-05,-363.6192052027685,733.238410405537,False,449
expon,"(0.11666666666666667, 0.8852635486265776)",0.11759691690509011,7.237026051496675e-06,50.97772828507795,9.280734410390482e-09,-394.2804224216143,792.5608448432286,False,449
norm,"(1.0019302152932443, 0.6496901102653235)",0.11991739590607214,4.392172493950957e-06,135.96659242761694,3.5537358640029107e-26,-443.46775874604896,890.9355174920979,False,449
