candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
triang,"(0.2776760081002285, 1.478414153685749, 8.720903351054211)",0.03829039346813007,0.6933117926615915,7.75,0.25699707445167264,-674.0671864786996,1354.1343729573991,True,336
weibull_min,"(1.9617192417402818, 1.603988663381602, 4.051646220894063)",0.04101115690643775,0.6093040089895116,7.630952380952381,0.26640616395830374,-678.8902238108485,1363.780447621697,True,336
lognorm,"(0.20452506460796976, -4.152280194027769, 9.159944407123907)",0.04397362090981438,0.5199960841267433,8.107142857142858,0.23035839858551335,-687.6958694226996,1381.3917388453992,True,336
gamma,"(6.596034957848499, 0.15430240837730164, 0.7649439716208115)",0.04703834341670077,0.4337289165815926,8.226190476190476,0.22199601173808922,-686.0232890182978,1378.0465780365955,True,336
norm,"(5.1999007936507935, 1.9012018416094207)",0.05352692207945031,0.2806543408541702,12.80952380952381,0.07688756430008756,-692.6387219197334,1389.2774438394667,True,336
expon,"(2.0, 3.1999007936507935)",0.18021315270884522,5.092030513751099e-10,109.29761904761905,1.2842556864293457e-20,-726.8082552665701,1457.6165105331402,False,336
