candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
triang,"(0.13657298682057453, 0.33954867723534476, 9.473211066062937)",0.04640237484563159,0.9958681617092663,5.500000000000001,0.4814567047130164,-146.8153785758222,299.6307571516444,True,72
weibull_min,"(1.7389644271199887, 0.38706119289569874, 3.907060147256481)",0.06770549720796415,0.8738181624095329,5.777777777777778,0.4485384305608807,-148.34187627773184,302.6837525554637,True,72
gamma,"(3.0411975285414945, 0.0921785950790921, 1.2421819729377201)",0.08291570826492156,0.6741563491372571,4.111111111111111,0.6616429763905896,-149.25841369915406,304.5168273983081,True,72
lognorm,"(0.3845015066866477, -1.5761490110117728, 5.0670044937611465)",0.08444114863984531,0.652274680013761,4.388888888888889,0.6242038099783609,-150.18341580597485,306.3668316119497,True,72
norm,"(3.8699074074074074, 2.0502401976280296)",0.10717173302896721,0.3545457014573927,13.833333333333334,0.054226336930154995,-153.856475212739,311.712950425478,True,72
expon,"(0.5333333333333333, 3.336574074074074)",0.1731981186530756,0.02331674028284514,24.11111111111111,0.0010892265307678199,-158.7560079057286,321.5120158114572,False,72
