xray_room,n,min,p25,median,mean,p75,p90,max,std
standing,552,0.0167,1.3333,2.1667,2.9513,4.0333,6.095,14.2667,2.4869
laying,402,0.0167,1.5,2.6833,3.7192,4.8625,8.7167,14.6,3.0444
