candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(1.414974328586222, -0.04884657684440865, 2.8769502183906184)",0.026656666453186595,0.4586027518551138,8.300492610837438,0.216904642196919,-2865.1224134514187,5736.244826902837,True,1015
weibull_min,"(0.7032315390195829, 0.0010565831666666664, 6.382246181634429)",0.09271794211925122,4.8117923666077765e-08,70.56650246305418,3.1288939939673477e-13,-2909.7836627677293,5825.567325535459,False,1015
expon,"(0.0010565831666666666, 7.737923594258637)",0.19816515602692886,2.0962962026480264e-35,194.1527093596059,1.984697640312965e-38,-3091.825382867344,6187.650765734688,False,1015
norm,"(7.7389801774253035, 17.228538696885973)",0.3266674745149901,5.998167004602438e-97,2597.068965517242,0.0,-4329.48835512044,8662.97671024088,False,1015
triang,"(1.0149650248315542e-07, 0.00103868570229642, 171.32183983011768)",0.7323518212430823,0.0,5534.1133004926105,0.0,-4581.884475377403,9169.768950754806,False,1015
gamma,"(0.06668677250860841, 0.0010565831666666664, 3.1070300890248723)",0.8116415076111457,0.0,7155.059113300493,0.0,-6227.893752228025,12461.78750445605,False,1015
