candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
weibull_min,"(1.317914761854409, 0.23227932321979, 1.298914322106704)",0.07475216011211805,0.973052427022265,,,-42.742901127715236,91.48580225543047,True,38
gamma,"(1.7009409004452176, 0.20936434154987255, 0.7170110660869304)",0.08113078185881828,0.9465089687291913,,,-42.78647470824924,91.57294941649847,True,38
lognorm,"(0.6419661880788781, -0.003304221134446939, 1.17522438154201)",0.09361178084409794,0.8623991703587499,,,-43.21276332972733,92.42552665945466,True,38
expon,"(0.25, 1.1789473684210527)",0.13571589949456195,0.44674965249135723,,,-44.25563522839305,92.5112704567861,True,38
norm,"(1.4289473684210527, 0.9141967059188946)",0.15405190226015908,0.2965535025110382,,,-50.51070264123766,105.02140528247531,True,38
triang,"(0.07222479595269116, 0.1672539158696945, 4.145567163864563)",0.16180105975819015,0.24500617159787075,,,-43.93394144824399,93.86788289648798,True,38
