candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
gamma,"(3.6284366701596613, -1.0656910649026055, 1.5885706154664057)",0.07662890012524332,0.958690745223063,,,-97.11191095181778,200.22382190363555,True,40
lognorm,"(0.35980657674199784, -3.479128479562102, 7.671600610552462)",0.07940749839569783,0.9452155312803171,,,-97.37100530476901,200.74201060953803,True,40
weibull_min,"(1.7318433045625206, -0.27780286336894666, 5.576218526610545)",0.08409684473058143,0.9172834867683352,,,-96.72286638978395,199.4457327795679,True,40
triang,"(0.25956786140142263, -0.6609467633857687, 13.140866365135322)",0.1155162187674702,0.618468427634244,,,-95.60367693043855,197.2073538608771,True,40
norm,"(4.698333333333333, 2.933567225523674)",0.1469086537348887,0.32166656118856274,,,-99.8063079526384,203.6126159052768,True,40
expon,"(0.05, 4.648333333333333)",0.22927891184023494,0.02487746617825537,,,-101.4603492964537,206.9206985929074,False,40
