candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(1.0564329583026255, 0.2367421959099008, 5.526609430076776)",0.09759452304604099,5.30803319355116e-07,121.0379746835443,9.863722503177413e-24,-2514.894798546592,5035.789597093184,False,790
weibull_min,"(0.712970732016726, 0.9999999999999999, 5.7366960355323595)",0.18173675511274487,2.6395523750523205e-23,214.0,1.978541590082416e-43,-inf,inf,False,790
expon,"(0.5, 10.045569620253165)",0.19094291646861006,1.0661086007804911e-25,168.27848101265823,5.789660762134745e-33,-2612.634045767877,5229.268091535754,False,790
norm,"(10.545569620253165, 17.99074514164108)",0.31462772232802655,5.277246921746048e-70,1454.53164556962,6.1180981272756e-310,-3403.9488400617465,6811.897680123493,False,790
triang,"(1.3833237915629082e-08, 0.4999959794705161, 146.72584760193615)",0.6772305256219145,0.0,3438.7848101265827,0.0,-3470.161498865712,6946.322997731424,False,790
gamma,"(0.0861458906492257, 0.49999999999999994, 3.1552147141557083)",0.8788261037699103,0.0,6130.481012658227,0.0,-5440.279654133301,10886.559308266602,False,790
