candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
weibull_min,"(2.035706795484067, -0.26313738539919485, 5.3105808718990755)",0.02125807379244951,0.9612798541063106,2.341864716636197,0.8857287885358771,-1232.9569550113335,2471.913910022667,True,547
gamma,"(5.895731199301956, -1.534059198394004, 1.013809161233609)",0.030028303163869396,0.6957349300995036,10.458866544789764,0.10661118524380918,-1236.6492508976291,2479.2985017952583,True,547
lognorm,"(0.2701749719931125, -4.49673278331197, 8.62164585797536)",0.03310767932611336,0.5747979724140038,14.0054844606947,0.02957495938017088,-1238.6973898027445,2483.394779605489,True,547
norm,"(4.443083485679464, 2.4185430313754064)",0.05255144517254823,0.09405370139508074,25.778793418647165,0.0005516144740473892,-1259.2507998869626,2522.501599773925,True,547
triang,"(0.3755711513276878, -1.7615007929017907, 13.787411677079163)",0.07068059512280855,0.008040680329530864,50.422303473491766,3.868207926103087e-09,-1265.6117138555774,2537.2234277111547,False,547
expon,"(0.03333333333333333, 4.409750152346131)",0.20815492641314878,2.8803486284369542e-21,220.40402193784274,5.415594990999235e-44,-1358.6484640821875,2721.296928164375,False,547
