candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(1.468612516974732, -0.04048677656570054, 2.702063003296637)",0.036944895536290046,0.12245401328129613,14.895463510848124,0.021085543330019746,-2836.433989321594,5678.867978643188,True,1014
weibull_min,"(0.687731805977869, 0.0034460586666666664, 6.330545504981455)",0.09869625138425409,4.745231874065948e-09,67.26232741617358,1.4874326962698757e-12,-2869.003826846376,5744.007653692752,False,1014
expon,"(0.003446058666666667, 7.609010762209582)",0.2010206872790527,2.152376810741094e-36,221.68047337278105,2.9018910898054417e-44,-3071.743836001021,6147.487672002042,False,1014
norm,"(7.612456820876249, 17.089930338077316)",0.328075483128785,1.0434742387021729e-97,2628.07100591716,0.0,-4317.031945501493,8638.063891002987,False,1014
triang,"(7.607179459509803e-10, -0.004572209618826522, 167.40360226184328)",0.7208834660707383,0.0,5461.108481262327,0.0,-4553.453546424954,9112.907092849908,False,1014
gamma,"(0.0700760388806882, 0.0034460586666666664, 3.096763648850608)",0.7908584901564197,0.0,6661.581854043392,0.0,-6072.039618089537,12150.079236179074,False,1014
