candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(0.5750416275937652, -0.6216821588316231, 2.8957238401384817)",0.0428957599012636,0.07209856893324507,55.782122905027926,3.221683775035455e-10,-1726.3304152150674,3458.660830430135,True,895
gamma,"(2.0450671787905135, -0.06192487142599179, 1.3887488883163361)",0.05189108830313105,0.01555974983634354,28.608938547486037,7.212813374507494e-05,-1719.640855714599,3445.281711429198,False,895
weibull_min,"(1.4622836334114249, -0.003482503631133259, 3.0759384763983517)",0.06483948086246716,0.0010273750751062037,62.240223463687144,1.5763477945611492e-11,-1721.297015256517,3448.594030513034,False,895
norm,"(2.7781750465549346, 1.9538965564593755)",0.14318037783935383,1.7905550896526827e-16,236.87709497206706,1.714488961254179e-47,-1869.4439107129297,3742.8878214258593,False,895
triang,"(0.10565033304276478, -0.13547683971125635, 9.169972004212948)",0.1509643491191366,2.843143125476727e-18,96.60893854748603,1.278076180383357e-18,-1740.3884753126026,3486.7769506252052,False,895
expon,"(0.016666666666666666, 2.761508379888268)",0.16886107178823198,8.875645221116929e-23,175.08938547486034,2.1196169940198766e-34,-1804.1204551825417,3612.2409103650834,False,895
