candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(0.25486338326852587, -3.3578040768539843, 6.624346054617984)",0.10504003024731401,0.848634804760237,,,-60.222539427885536,126.44507885577107,True,31
gamma,"(8.171578227648222, -1.559041493916922, 0.617391453952952)",0.10932106324527169,0.8140025057175821,,,-60.29377544585194,126.58755089170388,True,31
weibull_min,"(1.5386170368201042, 0.9769476338057159, 2.8601539351665783)",0.11172475959000089,0.7935027806044924,,,-inf,inf,True,31
norm,"(3.4860215053763435, 1.7853450454848105)",0.15568541122395563,0.39912179388880653,,,-61.955057208997566,127.91011441799513,True,31
triang,"(0.34499462030172523, -0.27576933628107847, 9.060341707658775)",0.1805486503222561,0.23443666021771326,,,-60.65426913202247,127.30853826404494,True,31
expon,"(0.16666666666666666, 3.319354838709677)",0.27170024100424883,0.016368161145159488,,,-68.19288358900059,140.38576717800117,False,31
