candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
gamma,"(1.2379989065044805, 0.2736174640961444, 0.9296891881123113)",0.07265221927873933,0.9740193810972732,,,-45.08910123861185,96.1782024772237,True,40
weibull_min,"(1.1811573674186957, 0.2751051405653403, 1.2128832006794616)",0.07326131463478758,0.9719649955418451,,,-44.79226194369123,95.58452388738246,True,40
lognorm,"(0.7491470292636853, 0.08019574753850939, 1.043411349613788)",0.08569256996278174,0.9063422719313392,,,-46.904560332155626,99.80912066431125,True,40
expon,"(0.2833333333333333, 1.1412499999999999)",0.0909338261637446,0.8657280196360546,,,-45.284966117081645,94.56993223416329,True,40
triang,"(0.05551634643652969, 0.21294127654906927, 3.6696445217510716)",0.12307568115048872,0.5389146687462504,,,-43.75534758315227,93.51069516630454,True,40
norm,"(1.4245833333333333, 0.8998224168937139)",0.13844276661211757,0.3914634021219493,,,-52.53522734060907,109.07045468121814,True,40
