variable,n_in,n_outliers,q1,q3,iqr,lower,upper,factor,n_before,n_after
initial_screening_xray,906,26,0.5333333333333333,1.6833333333333333,1.15,0.0,3.408333333333333,1.5,906,880
single_screening_no_xray,567,20,2.591666666666667,6.3583333333333325,3.7666666666666657,0.0,12.008333333333331,1.5,567,547
xray_service,976,65,1.35,4.7,3.35,0.0,9.725000000000001,1.5,976,911
secondary_screening_time,336,0,3.7666666666666666,6.583333333333333,2.8166666666666664,0.0,10.808333333333334,1.5,336,336
