candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
weibull_min,"(1.190560258654516, 0.22855378495601278, 1.0512701380550293)",0.08179284749069282,0.7462099531867863,11.153846153846153,0.08373642810852805,-63.03374810108033,132.06749620216067,True,65
gamma,"(1.3230033689918455, 0.2250553615790954, 0.752429597293965)",0.08333009241856537,0.7258120699661885,7.153846153846153,0.30685376095211675,-63.251662970064146,132.5033259401283,True,65
lognorm,"(0.7873426671882204, 0.11060272587240143, 0.8359251332144632)",0.09169342266703095,0.6122952480264936,8.692307692307692,0.19163618745507513,-65.04098859607655,136.0819771921531,True,65
expon,"(0.23333333333333334, 0.987179487179487)",0.09486711281207616,0.5695334574824653,15.461538461538462,0.030517835411618156,-64.16127868566598,132.32255737133195,True,65
triang,"(0.04344429252503934, 0.1896729782333808, 3.3067797084994783)",0.14518503490036572,0.11671554397151962,9.30769230769231,0.15699876732961013,-62.83489549801161,131.6697909960232,True,65
norm,"(1.2205128205128204, 0.8037347078513314)",0.14701238777288572,0.10871097637869409,33.0,2.6476442940650662e-05,-78.02941273347443,160.05882546694886,True,65
