candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
lognorm,"(1.4913826257503515, 0.028523968060022963, 2.1826520330288774)",0.06061890649785617,7.246431427151981e-06,88.20730270906948,7.138951338142586e-17,-4413.41243851694,8832.82487703388,False,1698
weibull_min,"(0.6253769404888478, 0.033333333333333326, 9.600631810244455)",0.28325822933448996,4.9145230573298145e-121,943.3191990577149,1.617735446659402e-200,-4829.072882747591,9664.145765495183,False,1698
expon,"(0.03333333333333333, 9.553131134668236)",0.35723997181392725,1.8183582321271877e-194,1432.7773851590105,3.12000727814997e-305,-5530.163508106094,11064.327016212188,False,1698
norm,"(9.58646446800157, 30.79676677268315)",0.38600877060812955,3.412328089758026e-228,4986.016489988221,0.0,-8229.099316208289,16462.198632416577,False,1698
triang,"(1.128100198897389e-07, -0.041161796779922995, 412.38235775385664)",0.8404923891801233,0.0,12728.395759717314,0.0,-9103.599124313125,18213.19824862625,False,1698
gamma,"(0.045548432636249525, 0.033333333333333326, 3.2170374066932776)",0.8801041658777061,0.0,14596.028268551236,0.0,-11559.211753893329,23124.423507786658,False,1698
