candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
gamma,"(1.7571833935940355, 4.896505999999317, 9.82754312120883)",0.03618859449909084,0.14863486785189695,25.494404883011192,0.00027647187114824916,-3704.1810387701994,7414.362077540399,True,983
weibull_min,"(1.3946785164512736, 5.02832734258909, 18.799574747796395)",0.04452201857948124,0.039383117866520045,37.23397761953204,1.585281043518379e-06,-3700.9355229636135,7407.871045927227,False,983
lognorm,"(0.62349317828286, 1.5533206545404754, 17.142311664497306)",0.04848696696072741,0.019013469291686833,30.13326551373347,3.70803172496213e-05,-3723.673647443675,7453.34729488735,False,983
triang,"(0.04614120151256541, 4.753457018918598, 55.551437238497655)",0.1122467423990714,3.0404126826196937e-11,67.0,1.683091684138241e-12,-3702.1754953425934,7410.350990685187,False,983
expon,"(5.066666666666666, 17.098643608002714)",0.12203400083819216,3.2406384058901545e-13,107.528992878942,2.98758639791007e-20,-3773.736153826809,7551.472307653618,False,983
norm,"(22.16531027466938, 12.362994031476498)",0.13054655869951315,4.56608587683106e-15,299.410986775178,8.081886392870107e-61,-3866.7742062015163,7737.548412403033,False,983
