candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
weibull_min,"(1.3489302295299683, 0.26778324177756946, 1.4612863733022257)",0.06944729795840432,0.8541838508006784,2.7222222222222223,0.8428155180265892,-88.78198021398322,183.56396042796644,True,72
gamma,"(1.6466087012791757, 0.2526006067765729, 0.8243282779919124)",0.06976644422746237,0.8504576755397893,5.5,0.4814567047130165,-89.33293002513005,184.6658600502601,True,72
lognorm,"(0.6334315382859642, -0.026851568359280775, 1.356076538885346)",0.07573886313411848,0.7746926891576895,5.5,0.4814567047130165,-91.21901844029978,188.43803688059955,True,72
triang,"(0.04367373968560408, 0.2313601989998531, 4.243125954866871)",0.0948874417579667,0.5056429750485456,4.666666666666668,0.5872191387344525,-87.70558202969573,181.41116405939147,True,72
expon,"(0.2833333333333333, 1.32662037037037)",0.1306514806182852,0.15652895282517376,7.722222222222222,0.35772418038724574,-92.34969359857787,188.69938719715574,True,72
norm,"(1.6099537037037035, 0.9748324473086586)",0.13212785036434727,0.14784832110101043,24.388888888888886,0.0009731647926660683,-100.32831803076984,204.65663606153967,True,72
