candidate,params,ks_stat,ks_p,chi2_stat,chi2_p,log_likelihood,aic,is_accepted,n
gamma,"(2.3284074112900446, 0.19223143654490676, 0.23119656359407081)",0.06995269230595402,0.9893315986705918,,,-7.846692176819873,21.693384353639747,True,36
lognorm,"(0.5151912442821414, 0.06240624363992449, 0.5863925839959323)",0.07192537875994248,0.9856212176930678,,,-7.990403721124045,21.98080744224809,True,36
triang,"(0.10236634983466697, 0.14811533211329644, 1.8093631384270137)",0.15032314465863278,0.35427324549389894,,,-10.412997634505064,26.82599526901013,True,36
norm,"(0.7305555555555555, 0.3519456502654078)",0.15535775690053044,0.3163736700733947,,,-13.487760548792064,30.975521097584128,True,36
expon,"(0.23333333333333334, 0.4972222222222222)",0.16549980735166903,0.24873361807610872,,,-10.846143878061575,25.69228775612315,True,36
weibull_min,"(0.41864341423112394, 0.33333333333333326, 0.3546407625880247)",0.25259020672443006,0.016409868402177508,,,-inf,inf,False,36
