department,visits,xray_visits,standing_visits,laying_visits,xray_probability,prob_standing,prob_laying
AdultHipKnee,800,511,263,247,0.63875,0.515686274509804,0.4843137254901961
ShoulderSports,306,147,113,34,0.4803921568627451,0.7687074829931972,0.23129251700680273
ChildOrtho,233,128,68,60,0.5493562231759657,0.53125,0.46875
BoneCyst,196,93,44,49,0.4744897959183674,0.4731182795698925,0.5268817204301075
Spine,167,85,56,29,0.5089820359281437,0.6588235294117647,0.3411764705882353
KneeMeniscus,61,30,22,8,0.4918032786885246,0.7333333333333333,0.26666666666666666
Control,58,40,25,15,0.6896551724137931,0.625,0.375
BoneDeformity,15,3,1,2,0.2,0.3333333333333333,0.6666666666666666
